order_number,created_at,payment_details,paymentId,order_id,txnid
3332,"08/02/2021, 11:56 AM","{""ORDERID"":""16061184278679-20210208062920"",""MID"":""WeWork88667919530823"",""TXNID"":""20210208111212800110168316380360998"",""TXNAMOUNT"":""3540.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-08 11:59:20.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16061184278679"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70423235951"",""BANKNAME"":""HDFC Bank""}",,16061184278679-20210208062920,20210208111212800110168316380360998
3335,"08/02/2021, 12:09 PM","{""ORDERID"":""16061222027415-20210208064407"",""MID"":""WeWork88667919530823"",""TXNID"":""20210208111212800110168248080947511"",""TXNAMOUNT"":""472.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-08 12:14:08.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16061222027415"",""GATEWAYNAME"":""SBIFSS"",""BANKTXNID"":""202103966611299"",""BANKNAME"":""ICICI Bank""}",,16061222027415-20210208064407,20210208111212800110168248080947511
3338,"08/02/2021, 12:49 PM","{""ORDERID"":""16061380952215-20210208072739"",""MID"":""WeWork88667919530823"",""TXNID"":""20210208111212800110168253180472077"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""UPI"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-08 12:57:40.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16061380952215"",""GATEWAYNAME"":""PPBL"",""BANKTXNID"":""103912948851""}",,16061380952215-20210208072739,20210208111212800110168253180472077
3435,"08/02/2021, 03:36 PM","{""ORDERID"":""16061937778839-20210209140609"",""MID"":""WeWork88667919530823"",""TXNID"":""20210209111212800110168964681437340"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""NB"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-09 19:36:10.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16061937778839"",""GATEWAYNAME"":""HDFC"",""BANKTXNID"":""210403203884"",""BANKNAME"":""HDFC""}",,16061937778839-20210209140609,20210209111212800110168964681437340
3351,"08/02/2021, 05:17 PM","{""ORDERID"":""16062307532951-20210208114851"",""MID"":""WeWork88667919530823"",""TXNID"":""20210208111212800110168185880718328"",""TXNAMOUNT"":""1180.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-08 17:18:52.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16062307532951"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70425570074"",""BANKNAME"":""Kotak Bank""}",,16062307532951-20210208114851,20210208111212800110168185880718328
3352,"08/02/2021, 05:18 PM","{""ORDERID"":""16062307827863-20210208115033"",""MID"":""WeWork88667919530823"",""TXNID"":""20210208111212800110168266880673858"",""TXNAMOUNT"":""590.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-08 17:20:34.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16062307827863"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70425580199"",""BANKNAME"":""Kotak Bank""}",,16062307827863-20210208115033,20210208111212800110168266880673858
3389,"09/02/2021, 09:19 AM","{""ORDERID"":""16067006726295-20210209042556"",""MID"":""WeWork88667919530823"",""TXNID"":""20210209111212800110168343081036052"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-09 09:55:56.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16067006726295"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70430179277"",""BANKNAME"":""ICICI Bank""}",,16067006726295-20210209042556,20210209111212800110168343081036052
3419,"09/02/2021, 01:02 PM","{""ORDERID"":""16067693904023-20210209075324"",""MID"":""WeWork88667919530823"",""TXNID"":""20210209111212800110168269580837316"",""TXNAMOUNT"":""15930.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-09 13:23:25.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16067693904023"",""GATEWAYNAME"":""AMEXADV"",""BANKTXNID"":""21020911121"",""BANKNAME"":""American Express""}",,16067693904023-20210209075324,20210209111212800110168269580837316
3421,"09/02/2021, 01:26 PM","{""ORDERID"":""16068026368151-20210209090130"",""MID"":""WeWork88667919530823"",""TXNID"":""20210209111212800110168674880931580"",""TXNAMOUNT"":""236.00"",""PAYMENTMODE"":""DC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-09 14:31:31.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16068026368151"",""GATEWAYNAME"":""ICICIPAY"",""BANKTXNID"":""70432393274"",""BANKNAME"":""ICICI Bank""}",,16068026368151-20210209090130,20210209111212800110168674880931580
3431,"09/02/2021, 04:31 PM","{""ORDERID"":""16068637196439-20210209114814"",""MID"":""WeWork88667919530823"",""TXNID"":""20210209111212800110168797081395191"",""TXNAMOUNT"":""295.00"",""PAYMENTMODE"":""CC"",""CURRENCY"":""INR"",""TXNDATE"":""2021-02-09 17:18:16.0"",""STATUS"":""TXN_SUCCESS"",""RESPCODE"":""01"",""RESPMSG"":""Txn Success"",""MERC_UNQ_REF"":""16068637196439"",""GATEWAYNAME"":""SBIFSS"",""BANKTXNID"":""202104035683694"",""BANKNAME"":""Yes Bank""}",,16068637196439-20210209114814,20210209111212800110168797081395191
